ext_id,title,image_link
275650000,Racer Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/275650000-front-pdp.jpg
235200024,The Perfect U-Neck Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/235200024-front-pdp.jpg
235480004,Modern One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/235480004-front-pdp.jpg
267750001,The Lux Tank,http://lsco.scene7.com/is/image/lsco/Levi/clothing/267750001-front-pdp.jpg
218340034,714 Straight Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/218340034-front-pdp.jpg
224910104,Levi's® Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224910104-front-pdp.jpg
658160175,Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160175-front-pdp.jpg
284010002,SLIMMING STRAIGHT,http://lsco.scene7.com/is/image/lsco/Levi/clothing/284010002-front-pdp.jpg
845110198,511™ Slim Fit Line 8 Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/845110198-2015-fall-front-pdp.jpg
658160176,Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160176-front-pdp.jpg
158490002,Herringbone Henley,http://lsco.scene7.com/is/image/lsco/Levi//158490002-2014-fall-front-pdp.jpg
188820000,721 High Rise Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/188820000-front-pdp.jpg
193280001,Lacy Blouse,http://lsco.scene7.com/is/image/lsco/Levi/clothing/193280001-front-pdp.jpg
195330001,Levi's ® Commuter Raglan Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195330001-front-pdp.jpg
189600004,V-Neck Boyfriend Pullover,http://lsco.scene7.com/is/image/lsco/Levi/clothing/189600004-front-pdp.jpg
508300047,Tailored One Pocket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/508300047-front-pdp.jpg
192980001,Padded Utility Coat,http://lsco.scene7.com/is/image/lsco/Levi/clothing/192980001-front-pdp.jpg
189820000,Fur Hooded Parka,
658160073,Made in Japan Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160073-2014-fall-front-pdp.jpg
723330082,Slim Fit Trucker Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/723330082-2015-spring-front-pdp.jpg
45111818,511™ Slim Fit Moleskin Trousers,http://lsco.scene7.com/is/image/lsco/Levi/clothing/045111818-front-pdp.jpg
55270174,527™ Slim Boot Cut Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/055270174-front-pdp.jpg
172690025,Tailored Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/172690025-front-pdp.jpg
178270001,Levi's ® Commuter One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/178270001-front-pdp.jpg
189720000,Wool Peacoat,http://lsco.scene7.com/is/image/lsco/Levi/clothing/189720000-front-pdp.jpg
197760017,Levi's® Housemark Polo,http://lsco.scene7.com/is/image/lsco/Levi/clothing/197760017-front-pdp.jpg
246640010,Selvedge Jackson Worker Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/246640010-front-pdp.jpg
658160055,Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160055-2014-fall-front-pdp.jpg
771360273,Vintage Patch Flat Brim Hat,http://lsco.scene7.com/is/image/lsco/Levi//771360273-2015-spring-front-pdp.jpg
219450007,Levi's® Stockholm Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/219450007-2015-spring-front-pdp.jpg
705050128,1967 Type III Trucker Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/705050128-front-pdp.jpg
131120032,Levi's® Commuter™ 511™ Slim Fit Trousers,http://lsco.scene7.com/is/image/lsco/Levi/clothing/131120032-front-pdp.jpg
173690052,The Perfect Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/173690052-front-pdp.jpg
