ext_id,title,link,predicted_ontology
P60088215,5 Pack Cotton Rich Hipster Underwear,http://www.marksandspencer.com/5-pack-cotton-rich-hipster-underwear/p/p60088215,unisex>underwear_&_socks>underwear
P60098835,2 Piece Pure Cotton Bodysuit & Dungaree Outfit,http://www.marksandspencer.com/2-piece-pure-cotton-bodysuit-and-dungaree-outfit/p/p60098835,unisex>outfits>others
P60092218,Super Soft Cotton Personalised Alphabet P Gown,http://www.marksandspencer.com/cotton-rich-personalised-alphabet-p-dressing-gown/p/p60092218,unisex>dresses>gown
P60099727,2 Pack Boys' Easy Dressing Shorts,http://www.marksandspencer.com/2-pack-boys-adjustable-waist-shorts/p/p60099727,boys>bottomwear>shorts
P22391244,3 Pack Merino Wool Blend Socks,http://www.marksandspencer.com/3-pairs-of-merino-wool-blend-socks/p/p22391244,unisex>underwear_&_socks>socks
P60088143,Long Sleeve Thermal Top,http://www.marksandspencer.com/long-sleeve-thermal-top/p/p60088143,women>topwear>others
P22483463,Leather Lace-up Shoes,http://www.marksandspencer.com/leather-welted-laceup-shoes/p/p22483463,unisex>shoes>others
P22480647,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22480647,kids>topwear>bodysuits
P22113758,2 Pack Pure Cotton Drawstring Waist Shorts,http://www.marksandspencer.com/2-pack-pure-cotton-drawstring-waist-jersey-shorts/p/p22113758,unisex>bottomwear>shorts
P22284748,3 Pack Cotton Jersey Boxers,http://www.marksandspencer.com/3-pack-pure-cotton-cool-and-fresh-boxers-with-staynew/p/p22284748,men>underwear_&_socks>underwear
P22295520,Feather & Bow Mesh Hat,http://www.marksandspencer.com/feather-and-bow-mesh-hat/p/p22295520,unisex>accessories>hats>others
P60098380,2 Pack Girls' Slim Fit Non-Iron Blouses,http://www.marksandspencer.com/slim-fit-2-pack-unisex-non-iron-blouses/p/p60098380,girls>topwear>blouses
P60122420,Beaded Tassel Necklace,http://www.marksandspencer.com/beaded-tassel-necklace/p/p60122420,women>accessories>jewelry>necklaces
P22364298,5 Pair Pack Microfibre Printed Low Rise Shorts,http://www.marksandspencer.com/5-pair-pack-microfibre-printed-low-rise-shorts/p/p22364298,unisex>bottomwear>shorts
P60116055,Pure Cotton Non-Iron Regular Fit Shirt,http://www.marksandspencer.com/pure-cotton-regular-fit-shirt-with-pocket/p/p60116055,unisex>topwear>shirts
P60100217,2 Pack Girls' Trousers,http://www.marksandspencer.com/2-pack-girls-crease-resistant-adjustable-waist-regular-leg-trousers/p/p60100217,girls>bottomwear>pants>trousers
P60100579,Boys' Skinny Leg Slim Fit Trousers,http://www.marksandspencer.com/slim-fit-2-pack-boys-skinny-leg-trousers/p/p60100579,boys>bottomwear>pants>trousers
P60098371,2 Pack Boys' Pure Cotton Non-Iron Shirts,http://www.marksandspencer.com/2-pack-boys-pure-cotton-non-iron-shirts/p/p60098371,boys>topwear>shirts
P60100457,Senior Boys' Slim Leg Trousers,http://www.marksandspencer.com/senior-boys-slim-leg-trousers-with-supercrease/p/p60100457,boys>bottomwear>pants>trousers
P60106713,2 Pack Easy Dressing Unisex Polo Shirts,http://www.marksandspencer.com/2-pack-pure-cotton-unisex-polo-shirt/p/p60106713,unisex>topwear>shirt
P60108850,Cotton Blend Thermal Long Pants (18 Months - 16 Years),http://www.marksandspencer.com/cotton-blend-thermal-long-pants-18-months-16-years-/p/p60108850,kids>bottomwear>pants>trousers
P60110632,Gold & Silver Plated Necklace Extenders,http://www.marksandspencer.com/gold-and-silver-plated-necklace-extenders/p/p60110632,women>accessories>jewelry>necklaces
P60086348,Smoothlines&trade; Full Cup T-Shirt Bra A-E,http://www.marksandspencer.com/smoothlines-padded-full-cup-t-shirt-bra-a-e/p/p60086348,women>lingerie>bras
P60092224,Super Soft Cotton Personalised Alphabet M Gown,http://www.marksandspencer.com/cotton-rich-personalised-alphabet-m-dressing-gown/p/p60092224,unisex>dresses>gown
P60103004,Pure Brushed Cotton Striped Pyjama Set,http://www.marksandspencer.com/pure-cotton-striped-pyjamas/p/p60103004,unisex>bottomwear>pyjama
P20031889,Thermal Long Sleeve Top,http://www.marksandspencer.com/thermal-long-sleeve-top/p/p20031889,women>topwear>others
P60127834,Geometric Print Shirt,http://www.marksandspencer.com/easy-care-geometric-print-shirt/p/p60127834,unisex>topwear>shirts
P60133261,2 Pack Printed Short Pyjamas (3-16 Years),http://www.marksandspencer.com/2-pack-printed-short-pyjamas-3-16-years-/p/p60133261,kids>bottomwear>pyjama
P60145134,Suede Brogue Shoes,http://www.marksandspencer.com/suede-brogue-shoes/p/p60145134,unisex>shoes>flats>brogues
P60144721,Pure Cotton Striped Shirt with Pocket,http://www.marksandspencer.com/pure-cotton-striped-shirt-with-pocket/p/p60144721,unisex>topwear>shirts
P60159240,Palm Tree Tie,http://www.marksandspencer.com/novelty-tie/p/p60159240,men>accessories>ties_pocket_squares
P60139013,Slim Fit Modal Rich Pyjama Top,http://www.marksandspencer.com/slim-fit-modal-rich-pyjama-top/p/p60139013,unisex>bottomwear>pyjama
P22281417,Slim Fit Pure Cotton Crew Neck T-Shirt,http://www.marksandspencer.com/pure-cotton-slim-fit-stay-soft-t-shirt/p/p22281417,unisex>topwear>tshirts
P60104603,Lightweight Padded Coat with Stormwear&trade; (3-14 Years),http://www.marksandspencer.com/padded-zip-through-coat-3-14-years-/p/p60104603,kids>outerwear>jackets&coats>others
P60101761,Coated Leather Active Waistband Belt,http://www.marksandspencer.com/coated-leather-active-waistband-belt/p/p60101761,unisex>accessories>belts
P22371330,Pure Silk Pre-tied Bow Tie,http://www.marksandspencer.com/pure-silk-bow-tie/p/p22371330,men>accessories>ties_pocket_squares
P60111575,Big & Tall Pure Cotton Hoody,http://www.marksandspencer.com/big-and-tall-pure-cotton-hooded-top/p/p60111575,unisex>outerwear>hoodies
P22379444,Kids' Cross Bar School Shoes with Freshfeet&trade; (13 Small - 1 Large),http://www.marksandspencer.com/freshfeet-leather-t-bar-school-shoes-with-silver-technology-younger-girls-/p/p22379444,kids>shoes>others
P60094256,Kids' Ballerina Shoes (5 Small - 12 Small ),http://www.marksandspencer.com/kids-ballerina-shoes/p/p60094256,kids>shoes>ballerina
P60155907,Heatgen&trade; 2 Pair Pack Trainer Liner Socks,http://www.marksandspencer.com/heatgen-2-pair-pack-trainer-liner-socks/p/p60155907,unisex>underwear_&_socks>socks
P60091661,2 Pack Boys' Regular Leg Shorts,http://www.marksandspencer.com/2-pack-boys-adjustable-waist-shorts/p/p60091661,boys>bottomwear>shorts
P22274903,Gold Plated Diamante Hoop Earrings,http://www.marksandspencer.com/gold-plated-diamant-hoop-earrings/p/p22274903,women>accessories>jewelry>earrings
P22197646,Pure Cotton Checked Pyjama Shorts Set,http://www.marksandspencer.com/pure-cotton-checked-pyjama-shorts-set/p/p22197646,unisex>bottomwear>pyjama
P60091717,Gingham Pure Cotton Dress (2-14 Years),http://www.marksandspencer.com/girls-pure-cotton-gingham-dress/p/p60091717,kids>dresses>others
P22392909,Pure Silk Micro Spot Tie,http://www.marksandspencer.com/pure-silk-micro-spotted-ties/p/p22392909,men>accessories>ties_pocket_squares
P22392676,3 Pack Merino Wool Blend Socks,http://www.marksandspencer.com/3-pairs-of-merino-wool-blend-dash-design-socks/p/p22392676,unisex>underwear_&_socks>socks
P22395695,Extra Wide Fit Leather Shoes with Airflex&trade;,http://www.marksandspencer.com/airflex-leather-extra-wide-fit-derby-lace-up-shoes/p/p22395695,unisex>shoes>others
P60098356,2 Pack Boys' Non-Iron Shirts,http://www.marksandspencer.com/2-pack-unisex-non-iron-long-sleeve-shirts/p/p60098356,boys>topwear>shirts
P22229120,Pure Cotton Non-Iron Regular Fit Shirt,http://www.marksandspencer.com/performance-pure-cotton-non-iron-fine-checked-shirt/p/p22229120,unisex>topwear>shirts
P22255165,2 Pack Cotton Rich Firm Control Full Briefs,http://www.marksandspencer.com/2-pack-firm-control-cotton-rich-floral-lace-panelled-full-briefs/p/p22255165,unisex>underwear_&_socks>underwear
P22288171,3 Pack Easy to Iron Slim Fit Shirts,http://www.marksandspencer.com/3-pack-easy-care-slim-fit-shirts/p/p22288171,unisex>topwear>shirts
P22275737,Kids' Leather Ballet Pumps,http://www.marksandspencer.com/leather-ballet-pumps/p/p22275737,kids>shoes>heels>pumps
P22111505,Total Support Floral Embroidered Front Fastening Full Cup Bra B-E,http://www.marksandspencer.com/total-support-floral-embroidered-front-fastening-b-dd-bra/p/p22111505,women>lingerie>bras
P22481174,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-bodysuit-3-16-years-/p/p22481174,kids>topwear>bodysuits
P22291545,Boys' Pleat Front Shorts,http://www.marksandspencer.com/boys-adjustable-waist-pleated-front-shorts-with-stormwear/p/p22291545,boys>bottomwear>shorts
P22480641,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22480641,kids>topwear>bodysuits
P60103750,3 Pack Cotton Jersey Boxers,http://www.marksandspencer.com/3-pack-pure-cotton-striped-boxers/p/p60103750,men>underwear_&_socks>underwear
P22360940,Regular Fit Chinos with Stormwear&trade;,http://www.marksandspencer.com/pure-cotton-active-waistband-chinos-with-stormwear/p/p22360940,unisex>bottomwear>pants>others
P22306121,Girls' Cotton Rich Cardigan,http://www.marksandspencer.com/girls-cotton-rich-cardigan-with-staynew/p/p22306121,girls>outerwear>cardigans
P60100719,Girls' Slim Leg Trousers,http://www.marksandspencer.com/girls-slim-leg-trousers-with-crease-resistant/p/p60100719,girls>bottomwear>pants>trousers
P22474916,Pre Tied Bow Tie & Pocket Square,http://www.marksandspencer.com/pocket-bow-tie/p/p22474916,men>accessories>ties_pocket_squares
P22438198,2 Pair Pack 100 Denier Body Sensor&trade; Tights,http://www.marksandspencer.com/100-denier-body-sensor-opaque-tights-2-pair-pack/p/p22438198,women>bottomwear>pants>leggings
P60105262,Denim Dungarees (3-14 Years),http://www.marksandspencer.com/denim-dungarees-3-14-years-/p/p60105262,kids>jumpuits_rompers>others
P60086958,5 Pair Pack Ankle High Socks,http://www.marksandspencer.com/5-pair-pack-ankle-high-socks/p/p60086958,unisex>underwear_&_socks>socks
P22105380,Diamante Heart Pendant T-Bar Necklace,http://www.marksandspencer.com/diamant-heart-pendant-t-bar-necklace/p/p22105380,women>accessories>jewelry>necklaces
P60090375,Flora Embroidered Padded Push-up Strapless Bra A-E,http://www.marksandspencer.com/lace-trim-padded-push-up-strapless-bra-a-e/p/p60090375,women>lingerie>bras
P60090439,Navy Textured Tailored Fit Wool Trousers,http://www.marksandspencer.com/navy-textured-regular-fit-trousers/p/p60090439,unisex>bottomwear>pants>trousers
P22285286,Micro Towelling Mule Slippers,http://www.marksandspencer.com/micro-towelling-mule-slippers/p/p22285286,unisex>shoes>bedroom_slippers
P60098191,2 Pack Boys' Slim Fit Non-Iron Shirts,http://www.marksandspencer.com/slim-fit-2-pack-unisex-non-iron-shirts/p/p60098191,boys>topwear>shirts
P22387321,Super Soft Cotton Towelling Gown,http://www.marksandspencer.com/micro-cotton-gown/p/p22387321,unisex>dresses>gown
P22414072,Build-up Shoulder Vest,http://www.marksandspencer.com/cotton-rich-built-up-shoulder-vest-with-new-and-improved-fabric/p/p22414072,unisex>outerwear>jackets&coats>vests
P22191381,2 Pack Cotton Rich Padded Underwired Balcony T-Shirt Bras,http://www.marksandspencer.com/2-pack-cotton-rich-padded-underwired-t-shirt-a-dd-bras/p/p22191381,women>lingerie>bras
P22288170,3 Pack Easy to Iron Slim Fit Shirts,http://www.marksandspencer.com/3-pack-easy-care-slim-fit-shirts/p/p22288170,unisex>topwear>shirts
P22292889,Lace Detail High Waist Shorts,http://www.marksandspencer.com/cotton-rich-lace-high-rise-shorts/p/p22292889,unisex>bottomwear>shorts
P20139824,Total Support Embroidered Full Cup Bra D-K,http://www.marksandspencer.com/total-support-embroidered-non-wired-gg-k-bra/p/p20139824,women>lingerie>bras
P22480579,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22480579,kids>topwear>bodysuits
P22363351,Slim Leg Washed Stretch Jeans,http://www.marksandspencer.com/slim-leg-stretch-denim-jeans/p/p22363351,unisex>bottomwear>jeans>others
P22481178,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22481178,kids>topwear>bodysuits
P22367764,Lace Trim Vest,http://www.marksandspencer.com/cotton-rich-v-neck-lace-trim-vest-with-staynew/p/p22367764,unisex>outerwear>jackets&coats>vests
P60098361,2 Pack Girls' Longer Length Blouses,http://www.marksandspencer.com/2-pack-unisex-non-iron-long-sleeve-blouses/p/p60098361,girls>topwear>blouses
P60100577,PLUS Boys' Skinny Leg Trousers,http://www.marksandspencer.com/plus-boys-crease-resistant-trousers/p/p60100577,boys>bottomwear>pants>trousers
P22367705,3 Pair Pack 10 Denier Tights,http://www.marksandspencer.com/10-denier-matt-tights-3-pair-pack/p/p22367705,women>bottomwear>pants>leggings
P22293117,Pearl Effect Floral Diamante Drop Earrings,http://www.marksandspencer.com/pearl-effect-floral-diamant-drop-earrings/p/p22293117,women>accessories>jewelry>earrings
P22157962,Funnel Neck Fleece Jacket,http://www.marksandspencer.com/funnel-neck-zip-through-fleece-jacket/p/p22157962,unisex>outerwear>jackets&coats>others
P22284726,3 Pack Pure Cotton Sleeveless Vests,http://www.marksandspencer.com/3-pack-pure-cotton-sleeveless-vests/p/p22284726,unisex>outerwear>jackets&coats>vests
P60098362,2 Pack Girls' Longer Length Blouses,http://www.marksandspencer.com/2-pack-unisex-non-iron-blouses/p/p60098362,girls>topwear>blouses
P22493984,Leather Gibson Lace-up Shoes,http://www.marksandspencer.com/leather-gibson-lace-up-shoes/p/p22493984,unisex>shoes>others
